sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
310,juglan,nigra,juglans,nigra,juglandaceae,p,w,n,c3
311,agasta,nepet,agastache,nepetoides,lamiaceae,p,f,n,c3
312,mentha,canad,mentha,canadensis,lamiaceae,p,f,n,c3
313,salvia,refle,salvia,reflexa,lamiaceae,a,f,n,c3
314,stachy,palus,stachys,palustris,lamiaceae,p,f,n,c3
315,leonur,cardi,leonurus,cardiaca,lamiaceae,a,f,i,c3
316,yucca,glauc,yucca,glauca,asparagaceae,p,m,n,CAM
317,gymnoc,dioic,gymnocladus,dioicus,fabaceae,p,w,n,c3
318,crotal,sagit,crotalaria,sagittalis,fabaceae,a,f,n,c3
319,glycyr,lepid,glycyrrhiza,lepidota,fabaceae,p,f,n,c3
320,desmod,gluti,desmodium,glutinosum,fabaceae,p,f,n,c3
321,desman,illin,desmanthus,illinoensis,fabaceae,p,f,n,c3
322,senna,maril,senna,marilandica,fabaceae,p,f,n,c3
323,chamae,fasci,chamaecrista,fasciculata,fabaceae,a,f,n,c3
324,cercis,canad,cercis,canadensis,fabaceae,p,w,n,c3
325,abutil,theop,abutilon,theophrasti,malvaceae,a,f,i,c3
326,hibisc,trion,hibiscus,trionum,malvaceae,a,f,i,c3
327,malvas,angus,malvastrum,angustum,malvaceae,a,f,n,c3
328,morus,alba,morus,alba,moraceae,p,w,i,c3
329,fraxin,penns,fraxinus,pennsylvanica,oleaceae,p,w,n,c3
330,oenoth,serru,oenothera,serrulata,onagraceae,p,f,n,c3
331,oenoth,villo,oenothera,villosa,onagraceae,b,f,n,c3
332,spiran,verna,spiranthes,vernalis,orchidaceae,p,m,n,c3
333,polygo,tenue,polygonum,tenue,polygonaceae,a,f,n,c3
334,phryma,lepto,phryma,leptostachya,phrymaceae,p,f,n,c3
335,phytol,ameri,phytolacca,americana,phytolaccaceae,p,f,n,c3
336,planta,rugel,plantago,rugelii,plantaginaceae,p,f,n,c3
337,planta,arist,plantago,aristata,plantaginaceae,a,f,n,c3
338,planta,patag,plantago,patagonica,plantaginaceae,a,f,n,c3
339,platan,occid,platanus,occidentalis,platanaceae,p,w,n,c3
340,muhlen,racem,muhlenbergia,racemosa,poaceae,p,g,n,c4
